"id.site","mang.app.NEU.MM.1.minus"
"M_ASE",0.299477467513038
"M_BAD",0.497076676933733
"M_BEE",0.768333208896409
"M_BEN",NA
"M_BRA",0.996977820462742
"M_BUH",0.919466930185627
"M_CAL",0.763319445017738
"M_DOB",0.866487777008124
"M_DOR",0.997747315359035
"M_FAL",0.997747315359035
"M_FRB",0.623286094408437
"M_GRO",NA
"M_HAI",0.541592166216515
"M_HAR",0.768333208896409
"M_HIR",0.891032332715684
"M_HNB",0.506434676996889
"M_HOH",0.655399691925375
"M_ILB",0.763319445017738
"M_JER",0.763319445017738
"M_KOL",NA
"M_KOT",0.299477467513038
"M_KUH",1
"M_LOB",0.768333208896409
"M_NEL",0.49510023567668
"M_PRA",0.883686344635624
"M_SKF",0.512834870873219
"M_STA",0.763319445017738
"M_STF",0.655399691925375
"M_STI",0.989186478959807
"M_STN",0.595130624018651
"M_TAN",0.891262474100851
"M_TRE",0.763319445017738
"M_TTH",0.748252750225257
"M_TTP",0.979889838907141
"M_VOC",0.763319445017738
"M_WDG",0.763319445017738
"M_WED",0.989186478959807
"M_WEF",0.989186478959807
"M_WIM",0.86946720986562
"M_WUG",0.848565943323664
"M_WUM",0.829488305964211
"N_AFE",0.911724105558049
"N_ALA",0.763319445017738
"N_ARE",0.768333208896409
"N_BEB",0.746620473034356
"N_BIT",0.573511873528536
"N_BLU",0.768333208896409
"N_BRD",0.883427659212685
"N_BRE",0.866487777008124
"N_BRO",0.26707440295529
"N_CNI",0.858762924500567
"N_DAM",0.997747315359035
"N_EIC",NA
"N_ELB",0.484450691485902
"N_GAM",0.526610187622164
"N_GAR",0.997747315359035
"N_GUT",0.763319445017738
"N_HAI",0.511158553368712
"N_HOH",0
"N_HOR",0.866487777008124
"N_HOY",0.766174389794563
"N_JAS",0.763319445017738
"N_KAP",0.528891573975665
"N_KRI",0.997747315359035
"N_LUB",0.768333208896409
"N_MAU",NA
"N_MOO",0.763319445017738
"N_NLG",0.989186478959807
"N_OCH",0.866487777008124
"N_PAN",0.685223711709614
"N_PEV",NA
"N_PFE",0.655399691925375
"N_RET",0.655399691925375
"N_STA",0.763319445017738
"N_TAN",0.584813196841256
"N_TAS",0.570771529573498
"N_TUT",0.453608247596069
"N_VOG",0.989186478959807
"N_WAL",0.989186478959807
"N_WEN",0.374871714935811
"N_ZDF",0.763319445017738
"S_ACR",0.866487777008124
"S_AFR",0.763319445017738
"S_AUH",0.567010309495086
"S_AUL",0.763319445017738
"S_BUC",0.567010309495086
"S_ECH",0.567010309495086
"S_FCH",0.763319445017738
"S_FHZ",0.989186478959807
"S_GIG",0.763319445017738
"S_GSH",0.763319445017738
"S_GSR",0.763319445017738
"S_GTZ",0.989186478959807
"S_HLZ",0.633264254547471
"S_HTH",0.567010309495086
"S_HUB",0.567010309495086
"S_JAU",0.763319445017738
"S_JHB",0.989186478959807
"S_JOS",0.763319445017738
"S_KRT",0.89434502765574
"S_LAP",0.763319445017738
"S_LPI",0.567010309495086
"S_MAS",0.989186478959807
"S_MBM",0.655399691925375
"S_MCH",0.763319445017738
"S_NOZ",NA
"S_OST",0.989186478959807
"S_OSW",0.763319445017738
"S_PEI",0.763319445017738
"S_POP",0.763319445017738
"S_SBN",0.567010309495086
"S_SHH",0.299477467513038
"S_SNF",0.989186478959807
"S_STB",0.989186478959807
"S_TIE",NA
"S_TRN",0.768333208896409
"S_VLR",0.763319445017738
"S_WGD",0.763319445017738
"S_WNK",0.763319445017738
"S_WTH",NA
"S_WTZ",0.763319445017738
