"id.site","hanski.lcp.grasslands.r300","field.size.avg.r300","lc.shannon.div.r300","edge.dens.r300","agrar.r300","cereal.r300","legume.r300","rape.r300","special.crop.r300","cult.grassland.r300","perm.grassland.r300","wetland.r300","mire.r300","heathland.r300","margin.r300","hedge.r300","grove.r300","forest.r300","tree.avenue.r300","urban.r300","water.r300","anthrop.herb.area.r300","hanski.lcp.grasslands.r600","field.size.avg.r600","lc.shannon.div.r600","edge.dens.r600","agrar.r600","cereal.r600","legume.r600","rape.r600","special.crop.r600","cult.grassland.r600","perm.grassland.r600","wetland.r600","mire.r600","heathland.r600","margin.r600","hedge.r600","grove.r600","forest.r600","tree.avenue.r600","urban.r600","water.r600","anthrop.herb.area.r600","hanski.lcp.grasslands.r1200","field.size.avg.r1200","lc.shannon.div.r1200","edge.dens.r1200","agrar.r1200","cereal.r1200","legume.r1200","rape.r1200","special.crop.r1200","cult.grassland.r1200","perm.grassland.r1200","wetland.r1200","mire.r1200","heathland.r1200","margin.r1200","hedge.r1200","grove.r1200","forest.r1200","tree.avenue.r1200","urban.r1200","water.r1200","anthrop.herb.area.r1200"
"N_GAR",4.6642,4.915,1.2116,384.0685,18.8,18.8049,0,0,0,1.2299,49.77,1.112,0.3187,0,0,2.6215,0.3777,0.8131,0,0.8683,0,3.1506,10.3059,3.8621,1.4771,419.6532,30.49,29.5069,0,0.9815,0,0,41.63,0.4188,0.0951,0,0.6364,3.0657,0.1749,1.4695,0,0.7663,0,5.0386,29.6406,3.6103,1.7756,406.3187,35.14,32.9483,1.1321,1.0627,0,0.3835,36.97,0.1252,0.3569,0,1.1127,2.1053,0.9042,2.3671,0,1.1998,0.5114,6.814
"N_GBI",1.7163,10.1738,0.6993,262.6099,0,0,0,0,0,0,43.7,0,0,0,0,0,0,40.7101,0,4.4372,4.5769,0,9.4119,8.8875,0.9978,239.8117,5.18,5.1842,0,0,0,0,37.3,0,0,0,0,0,0.0255,45.4031,0,3.567,3.1572,3.2824,24.6397,6.682,1.2681,205.3527,15.69,15.686,0,0,0,0,30.39,0,0,0,0.0157,0.0494,0.2204,45.2533,0.0037,2.4457,2.0009,1.9216
"N_GUT",0.5085,6.9393,0.9366,257.3535,64.56,61.8067,0,0,2.7547,19.8944,0,0,0,0,0.7204,0.0874,0,9.3095,0,3.7278,0,0,1.6973,7.613,1.7193,276.8631,64.7,43.187,0,0,21.5175,6.574,2.91,0,0,0,0.4585,0.0538,0.1988,11.6493,0.0268,4.7337,0.4571,0.6637,3.5322,5.9449,2.2942,283.8346,61.82,38.1042,0,0,23.7121,1.6586,12.75,0,0,0,0.3416,0.7199,0.6653,8.4584,0.217,3.1098,0.4133,3.0969
"N_HAI",0.0918,11.9675,1.2309,269.6479,0,0,0,0,0,0,19.72,0,0,0,0,0,4.063,29.798,0,18.7456,0.4577,0,1.4386,7.1406,1.3229,209.8599,5.27,5.2683,0,0,0,0,18.45,0,0,0,0,0,1.372,24.2626,0,36.2146,0.6909,0,6.777,3.8439,1.3444,214.2052,5.28,2.6084,0,0,2.6736,0,15.05,0,0,0,0.0057,0.0423,0.8355,36.4838,0,27.1596,0.72,0.4569
"N_HOH",2.5761,3.2617,0.6601,347.7164,2.28,2.2772,0,0,0,0,12.95,0,0,0,0,0,0,69.6345,0,5.9075,0,2.4888,2.9267,4.6287,1.3505,277.2797,20.22,15.9641,0,0,4.2522,0,7.3,0,0,0,0,0,0,36.8379,0,12.6697,17.482,2.8277,3.4012,5.3913,1.6993,244.5878,22.1,18.181,1.9331,0,1.9852,0,20.41,0,0,0,0.0461,0.0202,0.6623,25.6875,0,9.9058,18.0465,3.2991
"N_HOR",0,12.6,0.6877,196.985,0,0,0,0,0,0,2.28,0,0,0,0,0,0,73.4256,0,1.5725,0,2.068,0.0469,11.8375,0.9759,153.1708,9.84,6.4952,0,0,3.3465,0,9.36,0.0304,0,0,0,0.0921,1e-04,72.0129,0,1.7488,0,1.4485,1.0165,8.0899,1.5607,179.7711,32.3,26.942,0,0.8975,4.4614,0,7.53,0.0076,0,0,0.0823,0.3725,0.0217,50.9951,0.0782,1.8309,0.1724,4.6892
"N_HOY",10.5096,9.5032,0.4399,272.6836,15,14.9981,0,0,0,0,78.67,0,0,0,0,0,0,0,0,4.4648,3.5937,0,27.8282,9.2989,0.3637,275.6421,4.47,4.474,0,0,0,0,88.52,0.5065,0,0,0,0,0.5106,2.2728,0,2.7688,3.9679,0,102.3094,7.073,1.0214,300.0512,13.3,9.7882,2.7708,0.2487,0.4959,0,68.25,1.6491,0,0,0.2294,0.0136,0.6226,7.2218,0.0124,4.2974,6.9272,0.2507
"N_ISE",6.6279,4.6221,0.9773,291.6808,2.64,2.6401,0,0,0,0,51.05,0,0,0,1.9781,0.9762,0.2875,34.0503,0,1.3758,0,4.0275,11.6458,4.6505,1.0802,260.1319,8.68,5.0846,0,3.5986,0,0,30.18,0,0,0,1.0296,0.6646,0.0719,50.4772,0,2.8061,0,1.7756,24.4994,5.1606,1.7036,215.0184,24.91,17.4961,0,3.559,3.8538,0,20.79,0,2.3884,0,0.5581,0.1896,0.2619,42.5079,0.0075,2.7767,0.0638,2.1506
"N_JAS",0.0516,11.4057,0.9801,133.5828,85.6,56.6477,0,28.9534,0,13.9365,0.46,0,0,0,0.1256,0.5436,0,0,0.1772,0.5878,0,0,0.1233,8.8811,1.4822,217.354,72.17,45.9405,2.0646,24.1609,0,3.7844,22.05,0,0.1407,0,0.7407,0.3127,0.0164,0,0.0488,0.956,0.4716,0.2685,5.3177,7.6334,1.7422,237.4654,50.7,35.5504,2.3509,10.0511,2.7462,1.7175,40.27,0.0168,0.9205,0,0.866,0.2587,0.2329,0.2249,0.0479,2.6515,0.212,0.7838
"N_KAP",2.4715,4.565,1.2735,302.5172,24.5,24.497,0,0,0,0,22.46,0,0,0,1.0869,0,0,42.9375,0,0,0,0,4.0919,3.4712,1.713,220.9597,44.73,41.2318,3.4994,0,0,0,12.53,0,0,0,0.8644,0.0298,0,37.5833,0,0.0835,0,0,7.6963,3.9615,1.878,236.7138,42.91,38.6041,2.3962,1.32,0.5935,0.0355,14.61,0,0,0,0.5562,0.0553,0.373,34.634,0.0068,3.592,0.0355,0.2246
