"site.type","predicted","std.error","conf.low","conf.high"
"negative",3.93759938914202,1.77200968210036,1.6196187947579,9.5730482997323
"restored",4.72755142628206,2.09809049998174,1.968575181792,11.3532582828747
"positive",5.71138814412367,2.54877643165171,2.36672122290616,13.7827616607847
