"rest.meth","predicted","std.error","conf.low","conf.high"
"cus",3.21754643446134,0.411520438879116,2.50413153789807,4.13420976543617
"res",5.03069119206707,0.361252327334704,4.37021847014416,5.79098139894741
"dih",5.29033323435104,0.409438100849818,4.54574898292401,6.15687884122375
"mga",6.0778435571636,0.589141229886059,5.02620654425111,7.34951538105944
