"site.type","predicted","std.error","conf.low","conf.high"
"negative",3.86165504716475,1.58830716806139,1.71444535720197,8.69807815142645
"restored",4.30941345277759,1.7534278357261,1.92999945713607,9.62230545626066
"positive",4.56512460183116,1.87012208545377,2.03336741830052,10.2491868624818
