"site.type","predicted","std.error","conf.low","conf.high"
"negative",39.6664345836557,5.06086982014889,30.8902925252131,50.9359382497005
"restored",69.8555482703751,4.50864395333248,61.5548567138652,79.2755906627841
"positive",66.4021429529653,8.18156063179788,52.1559183793641,84.5396788275249
